epoch,train_loss,val_acc,val_f1
1,2.893568756146059,0.3649571722866746,0.20572595283512313
2,2.142176312939385,0.5695543749322346,0.446108315919476
3,1.4989805646988539,0.6802558820340453,0.6253172790465531
4,1.131168997332066,0.8180635368101485,0.7847312381908411
5,0.9202551079062281,0.8228342188008241,0.7906924265196296
6,0.7964869322386816,0.894828147023745,0.8742962476041495
7,0.708039093527209,0.873793776428494,0.8517082693040413
8,0.627626221419267,0.9010083486934837,0.8789730731188795
9,0.5922342296426624,0.9112002602190177,0.8963814715418269
10,0.542097748943421,0.9062127290469478,0.8906315244536629
11,0.49527549451168584,0.9097907405399545,0.8931627465394212
12,0.45781780922279924,0.9294155914561423,0.9179179312301773
13,0.42661737190303306,0.920958473381763,0.9093924151883164
14,0.4056118788772356,0.9381979833026131,0.9291399683161475
15,0.3842532946717783,0.952184755502548,0.9432042932435521
16,0.34887845183836924,0.9519679063211537,0.9427119118676166
17,0.33315005103008455,0.9602081752141386,0.9538596228901423
18,0.31239137183667115,0.959882901442047,0.9544124772324734
19,0.2926149883400995,0.949690989916513,0.9424732054061079
20,0.2749899444582294,0.9692074162420037,0.9645199841237159
21,0.2612276105798753,0.9655209801582999,0.9609729122310434
22,0.24408413550113656,0.9697495391954896,0.9654361574231641
23,0.22742340432334568,0.9653041309769056,0.9599364749123956
24,0.21964931753931435,0.9758213162745311,0.9720485232005103
25,0.20293780153402607,0.9766887130001084,0.973463159953437
26,0.20032650179690145,0.9770139867722,0.9736493213419556
27,0.19297327140283851,0.9762550146373198,0.9731914058652439
28,0.18213694187843665,0.9783150818605659,0.9750092136052947
29,0.18141383970481756,0.9758213162745311,0.9728613369357157
30,0.1800136414657738,0.9757128916838339,0.9726142745374877
