epoch,train_loss,val_acc
1,2.0096434930000164,0.6900140951967906
2,0.9349907610939338,0.8274964762008024
3,0.6746353094462568,0.8856120568144855
4,0.5393783436831932,0.8830098666377535
5,0.4655745270083828,0.9308251111352055
6,0.4044146447376691,0.9381979833026131
7,0.3623619796728999,0.9386316816654017
8,0.33648665497515723,0.9384148324840074
9,0.3075397146346401,0.957931258809498
10,0.28918538989852355,0.9388485308467961
11,0.26910148476800955,0.9682315949257292
12,0.2525513571489699,0.9568470129025263
13,0.24028030743053855,0.9591239293071668
14,0.22293244364868753,0.9542448227257943
15,0.2155145655888164,0.9669304998373631
16,0.2022604483764854,0.9777729589070802
17,0.19721619384328673,0.9708337851024612
18,0.19228519066669683,0.9797246015396291
19,0.17954744174245565,0.9669304998373631
20,0.17279161421727512,0.9740865228233764
21,0.16580426363641446,0.9730022769164046
22,0.15961349755248616,0.9741949474140735
23,0.15146842163790114,0.9773392605442914
