epoch,train_loss,val_acc,val_f1
1,1.9220962010351699,0.7592974086522823,0.6914476203670672
2,0.9359259466256351,0.8121001843218042,0.77155206236524
3,0.6603143890551032,0.8769380895587119,0.8476725038640797
4,0.5231673167983839,0.9208500487910658,0.9031092003098468
5,0.4399253997439345,0.9224764176515233,0.911059326970718
6,0.39893069595209285,0.9238859373305865,0.912222464411546
7,0.359573236938746,0.9157540930282988,0.903981265289288
8,0.3310443866097794,0.9319093570421771,0.9180711301737645
9,0.3009296671608567,0.9578228342188009,0.9484768370730734
10,0.2898201255217804,0.9492572915537244,0.9396020033555453
11,0.2755807295497022,0.9589070801257725,0.9512410449858739
12,0.24565321426963274,0.9559796161769489,0.9466606297361297
13,0.23866160718038623,0.962376667028082,0.9541891512079911
14,0.22124474762651558,0.9634609129350536,0.956469871688224
15,0.20738957465027344,0.9712674834652499,0.9648157016874906
16,0.19944090488674915,0.9534858505909141,0.9483874918433182
17,0.19163660744419772,0.9769055621815028,0.9713558320088554
18,0.17943575698536124,0.9698579637861867,0.9646018633593656
19,0.16912928976423236,0.9805919982652066,0.976833146614247
20,0.16503117128818895,0.9741949474140735,0.9691438902416081
21,0.15786753546405016,0.9699663883768839,0.963877542214895
22,0.1550969782842801,0.9714843326466442,0.9672925044084888
23,0.14863603117297572,0.9712674834652499,0.9663653142608775
24,0.14250744614459324,0.9717011818280386,0.9669667661234685
