epoch,train_loss,val_acc
1,2.8658012858110733,0.33524883443565
2,2.072796234854092,0.5486284289276808
3,1.4644027210079604,0.7152770248292313
4,1.1329945204426364,0.7981134121218693
5,0.946488071285659,0.8192562073078175
6,0.8199225682972975,0.8816003469586903
7,0.7314739883167592,0.8763959666052261
8,0.6598561934822111,0.8818171961400846
9,0.6093851079728081,0.9204163504282772
10,0.5589539486236289,0.8987314322888431
11,0.5079935092465142,0.9102244389027432
12,0.47652094556939645,0.9348368209910007
13,0.45140882872294313,0.9293071668654451
14,0.42594409095310365,0.9437276374281687
15,0.3860020891662867,0.9249701832375583
16,0.36379098390336373,0.9551122194513716
17,0.33666128326747496,0.9610755719397159
18,0.3212094047809622,0.9600997506234414
19,0.2997887111618616,0.9634609129350536
20,0.28294436457431893,0.9662799522931801
21,0.26554838739141656,0.9671473490187574
22,0.25022725135531126,0.9625935162094763
23,0.23696798954754514,0.9730022769164046
24,0.21794152490822355,0.9782066572698688
25,0.2100752542674763,0.9744117965954678
26,0.202821735749679,0.9807004228559038
27,0.20659999882864685,0.9763634392280169
28,0.1905002092977217,0.9767971375908056
29,0.18714424936190857,0.978965629404749
30,0.18551033999230782,0.9786403556326575
