epoch,train_loss,val_acc,val_f1
1,3.0626636501581697,0.35942751816111895,0.19100755416045662
2,2.487218365261546,0.5440745961183997,0.43642924261482946
3,2.1018710946504955,0.6760273229968556,0.579164278728336
4,1.8195856643875292,0.7492139217174455,0.6702503008060046
5,1.58817265468016,0.8127507318659872,0.7591922149260362
6,1.3975205300908993,0.8176298384473598,0.7728374493633984
7,1.2573456993776626,0.8755285698796487,0.84816660276742
8,1.167294021078202,0.8471213271169902,0.8142626217550827
9,1.0869434716976265,0.8905995879865554,0.8645555972690784
10,1.020670841174498,0.8590480320936789,0.832213202655194
11,0.9617199761273693,0.8903827388051611,0.8686555117508399
12,0.8946968754871184,0.9078390979074054,0.8875336515388101
13,0.8608482759902911,0.9204163504282772,0.9015889790414979
14,0.8232990638030949,0.921609020925946,0.9053056908303151
15,0.7810211111178629,0.9321262062235715,0.9180895325621569
16,0.7442491577460421,0.9179225848422422,0.9026867042972129
17,0.7102320813113429,0.9342946980375149,0.9195039472410431
18,0.6803013580439259,0.9339694242654234,0.9220053046711874
19,0.6584312434533272,0.9467635259676894,0.9363622195738247
20,0.6300435390835801,0.9416675702049224,0.9286769202885904
21,0.6085152728850071,0.9355957931258809,0.9219507634959783
22,0.5971930077971136,0.9383064078933102,0.9242029727226184
23,0.5701943758030363,0.9383064078933102,0.9265032683730444
24,0.5544626990437065,0.9404748997072536,0.928640566547397
