epoch,train_loss,val_acc
1,3.10030224527125,0.31952726878456034
2,2.6497025800017178,0.5107882467743684
3,2.25971021120433,0.5823484766345007
4,1.961427767835142,0.6896888214246991
5,1.7334945990693613,0.7314322888431096
6,1.5546537851312348,0.801799848205573
7,1.4117783683826488,0.8150276482706278
8,1.3024752717035855,0.8073295023311287
9,1.205138270916992,0.8102569662799523
10,1.1449100378277577,0.8436517402146807
11,1.0806774544449986,0.880190827279627
12,1.026970952948673,0.8741190502005854
13,0.9722467096321645,0.8873468502656402
14,0.9441174190283708,0.8905995879865554
15,0.9088174692760169,0.8728179551122195
16,0.8721138912948977,0.8977556109725686
17,0.8304395785562168,0.906321153637645
18,0.8095375967291651,0.8993819798330261
19,0.7806059004205753,0.9084896454515884
20,0.754203545515422,0.906971701181828
21,0.7381359915307907,0.9110918356283205
22,0.7030387087382348,0.9096823159492573
23,0.6907134275675706,0.9230185406050092
24,0.666028926363665,0.9246449094654667
25,0.6660338466052229,0.9186815569771224
26,0.6423867126822915,0.9254038816003469
27,0.6406052392211545,0.9306082619538111
28,0.6310785378886865,0.9251870324189526
29,0.6184112145555064,0.9289818930933536
30,0.6239851002799534,0.9294155914561423
