epoch,train_loss,val_acc,val_f1
1,1.2484469316262738,0.8450612598937439,0.8268184459421962
2,0.6254388864155596,0.8787813076005638,0.8632330556945834
3,0.5084241696228325,0.9029599913260328,0.8912148926202712
4,0.44582306795847015,0.9017673208283639,0.8899826901448227
5,0.41201405773375555,0.907622248726011,0.8971834495008226
6,0.3865985841112952,0.909465466767863,0.898332073318844
7,0.3713101561627867,0.9166214897538761,0.9077276502810437
8,0.3572823007421423,0.9135856012143554,0.9045084254060688
9,0.34436121312659024,0.9232353897864035,0.9153901863116926
10,0.3301593208955566,0.9220427192887347,0.9125896306180648
11,0.32104074528447757,0.9244280602840724,0.9155420036200712
12,0.3161562747450123,0.9257291553724385,0.9171734122738752
13,0.3153902511282038,0.9269218258701073,0.9195653871022205
14,0.2999340614754028,0.9321262062235715,0.9242790297885176
15,0.299158645551444,0.9310419603165998,0.9233334051589103
16,0.29571044271098634,0.9285481947305649,0.9210349329223317
17,0.29335896068124523,0.9338609996747262,0.9268856457211557
18,0.2898221736725378,0.9334273013119375,0.9254358827927047
19,0.29315765798091886,0.9310419603165998,0.9227150069861827
20,0.2872833996568028,0.9333188767212404,0.9268526604694646
21,0.28087368659592027,0.9307166865445083,0.9227331068290939
22,0.2853875918237693,0.9321262062235715,0.9244785389600617
