epoch,train_loss,val_acc
1,1.246368875379456,0.8439770139867722
2,0.6276827807320094,0.8749864469261629
3,0.5056479913816133,0.8979724601539629
4,0.4520537005259645,0.8926596552098016
5,0.41388000717393525,0.9051284831399762
6,0.38787584238335987,0.9121760815352922
7,0.3671887061852948,0.907622248726011
8,0.3590879533702999,0.9192236799306083
9,0.3472388666580158,0.9198742274747913
10,0.3426657054171686,0.9184647077957281
11,0.32811561451747073,0.9210668979724601
12,0.3176913404553353,0.9269218258701073
13,0.3099600988471375,0.926704976688713
14,0.3064139011402556,0.924102786511981
15,0.30673982854447845,0.9313672340886913
16,0.29747075986906496,0.9353789439444866
17,0.2904505943609436,0.93180093245148
18,0.28780509234582624,0.9239943619212837
19,0.29536230649425194,0.9284397701398677
20,0.2852380453543149,0.9309335357259026
21,0.2893888685450678,0.9272470996421989
